Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
1023,cluster_4,cluster_3,cluster_1,0.13651036,0.12435115,0.10331397,0.1821546107530594,2.9433939456939697
10310,cluster_6,cluster_1,cluster_5,0.11611117,0.114964135,0.10814629,0.1821546107530594,2.9433939456939697
10367,cluster_3,cluster_6,cluster_5,0.1808121,0.14144342,0.105990015,0.1821546107530594,2.9433939456939697
10379,cluster_4,cluster_6,cluster_10,0.16739805,0.106802486,0.08817546,0.1821546107530594,2.9433939456939697
10397,cluster_17,cluster_4,cluster_1,0.13593513,0.07645172,0.07621998,0.1821546107530594,2.9433939456939697
10445,cluster_6,cluster_3,cluster_4,0.24844876,0.14110608,0.121870264,0.1821546107530594,2.9433939456939697
10456,cluster_3,cluster_5,cluster_4,0.17590718,0.15349494,0.13577533,0.1821546107530594,2.9433939456939697
10479,cluster_5,cluster_10,cluster_3,0.1555946,0.11823737,0.104178,0.1821546107530594,2.9433939456939697
10486,cluster_6,cluster_3,cluster_14,0.1312781,0.07945105,0.078547314,0.1821546107530594,2.9433939456939697
10563,cluster_5,cluster_1,cluster_9,0.13941866,0.124316044,0.10206203,0.1821546107530594,2.9433939456939697
10604,cluster_9,cluster_5,cluster_19,0.21377155,0.14063148,0.08643366,0.1821546107530594,2.9433939456939697
10766,cluster_4,cluster_1,cluster_11,0.10247812,0.0932482,0.07299007,0.1821546107530594,2.9433939456939697
10843,cluster_28,cluster_9,cluster_14,0.95413107,0.03189137,0.0074300286,0.1821546107530594,2.9433939456939697
10911,cluster_9,cluster_5,cluster_6,0.17818955,0.103489876,0.08613274,0.1821546107530594,2.9433939456939697
10915,cluster_5,cluster_14,cluster_19,0.4973397,0.09941528,0.07429645,0.1821546107530594,2.9433939456939697
10926,cluster_3,cluster_5,cluster_15,0.28539786,0.16070913,0.14409831,0.1821546107530594,2.9433939456939697
10943,cluster_3,cluster_9,cluster_5,0.25206074,0.24345498,0.20667481,0.1821546107530594,2.9433939456939697
