epoch,train_accuracy,validation_accuracy,loss,validation_loss
1,0.10116999596357346,0.12156394124031067,3.2562789916992188,3.0553500652313232
2,0.11811769008636475,0.13949120044708252,3.070765495300293,3.0200865268707275
3,0.1263764649629593,0.12788116931915283,3.0403523445129395,3.007073163986206
4,0.12796799838542938,0.1248079240322113,3.016141414642334,3.0063371658325195
5,0.13399001955986023,0.13351544737815857,3.0060513019561768,2.9878900051116943
6,0.13433413207530975,0.14529623091220856,3.0035531520843506,2.9725935459136963
7,0.1339469999074936,0.14427180588245392,2.9948670864105225,2.971186637878418
8,0.1361837536096573,0.14256444573402405,2.99251389503479,2.984726905822754
9,0.13562457263469696,0.12634454667568207,2.9850473403930664,2.995975971221924
10,0.13467824459075928,0.14188151061534882,2.9779770374298096,2.975247383117676
11,0.14048519730567932,0.12788116931915283,2.97452974319458,2.9663002490997314
12,0.14113041758537292,0.14341813325881958,2.9711685180664062,2.955353021621704
13,0.13915175199508667,0.14734505116939545,2.970136880874634,2.9621152877807617
14,0.14052821695804596,0.14034488797187805,2.967771053314209,2.9428932666778564
15,0.14117343723773956,0.14478401839733124,2.9645614624023438,2.9453392028808594
16,0.14272195100784302,0.146320641040802,2.9582858085632324,2.9572179317474365
17,0.1471954584121704,0.1488816738128662,2.9496328830718994,2.943887948989868
18,0.14564694464206696,0.15058903396129608,2.9471168518066406,2.944159984588623
19,0.14667928218841553,0.14256444573402405,2.94639253616333,2.9453272819519043
20,0.14384032785892487,0.1511012464761734,2.949885129928589,2.9471216201782227
21,0.14538885653018951,0.1439303457736969,2.943789482116699,2.9482529163360596
22,0.14956125617027283,0.1507597714662552,2.939509868621826,2.941917896270752
23,0.14422746002674103,0.1391497403383255,2.9530694484710693,2.985553741455078
24,0.14551790058612823,0.1464913785457611,2.9476141929626465,2.944279432296753
25,0.14336717128753662,0.14939388632774353,2.9588801860809326,2.9484782218933105
26,0.14517377316951752,0.14990609884262085,2.9446775913238525,2.951408624649048
27,0.15089470148086548,0.15212565660476685,2.934838056564331,2.954171657562256
28,0.15106676518917084,0.15058903396129608,2.9289979934692383,2.929037570953369
29,0.15480901300907135,0.15229639410972595,2.922158718109131,2.9399683475494385
30,0.1536906361579895,0.14905241131782532,2.9210188388824463,2.9310827255249023
