epoch,train_accuracy,validation_accuracy,loss,validation_loss
1,0.09901927411556244,0.11592965573072433,3.2151038646698,3.07770037651062
2,0.11626806855201721,0.12907631695270538,3.0755393505096436,3.0241634845733643
3,0.12048348039388657,0.12788116931915283,3.0436105728149414,3.020207166671753
4,0.12035443633794785,0.1150759756565094,3.0398788452148438,3.044685125350952
5,0.12155884504318237,0.1222468838095665,3.0278265476226807,3.0003538131713867
6,0.12332243472337723,0.1248079240322113,3.0188071727752686,3.01216459274292
7,0.1296025514602661,0.12993000447750092,3.0051567554473877,2.990220069885254
8,0.1296025514602661,0.14546696841716766,3.0047688484191895,2.984009265899658
9,0.12818306684494019,0.13249103724956512,3.0000572204589844,2.984635353088379
10,0.12861321866512299,0.13385692238807678,2.996689796447754,2.9769198894500732
11,0.13089297711849213,0.13590575754642487,2.993492364883423,2.968842029571533
12,0.13218341767787933,0.13556428253650665,2.9908013343811035,2.9792702198028564
13,0.1301187127828598,0.14444254338741302,2.9893617630004883,2.9607746601104736
14,0.13506537675857544,0.1367594301700592,2.988313913345337,2.97251558303833
15,0.13489332795143127,0.1393204778432846,2.9779748916625977,2.9834396839141846
16,0.13829146325588226,0.14495475590229034,2.9723706245422363,2.950709104537964
17,0.13816241919994354,0.14683285355567932,2.9705650806427,2.9433846473693848
18,0.14336717128753662,0.15212565660476685,2.963237762451172,2.95046067237854
19,0.1440984159708023,0.1533208191394806,2.9575562477111816,2.9472572803497314
20,0.14646421372890472,0.16134539246559143,2.9523701667785645,2.934081554412842
21,0.14839985966682434,0.1536622792482376,2.9448904991149902,2.948941946029663
22,0.1521851271390915,0.15895509719848633,2.9351913928985596,2.9130406379699707
23,0.15244321525096893,0.15485744178295135,2.9251716136932373,2.9221270084381104
24,0.15597040951251984,0.15758921205997467,2.9246315956115723,2.903635025024414
25,0.15472298860549927,0.13761311769485474,2.9168732166290283,2.9328114986419678
26,0.15760496258735657,0.1610039323568344,2.909356117248535,2.894331216812134
27,0.1574328988790512,0.16510158777236938,2.904569149017334,2.9101016521453857
28,0.15782003104686737,0.15263786911964417,2.9040143489837646,2.918586015701294
29,0.16336889564990997,0.16971145570278168,2.893059015274048,2.8817219734191895
30,0.16612181067466736,0.17176029086112976,2.890199899673462,2.9030487537384033
