epoch,train_accuracy,validation_accuracy,loss,validation_loss
1,0.09515005350112915,0.1462288349866867,5.636418342590332,5.270633697509766
2,0.12408633530139923,0.16093723475933075,4.710977077484131,4.285029411315918
3,0.13569524884223938,0.16965965926647186,4.249582767486572,3.90352463722229
4,0.1467452049255371,0.1843680590391159,3.953958749771118,3.8071911334991455
5,0.1488950103521347,0.16110825538635254,3.753422498703003,3.5530059337615967
6,0.15078683197498322,0.1691465675830841,3.606961250305176,3.4352314472198486
7,0.15895605087280273,0.1756456345319748,3.490534543991089,3.3368570804595947
8,0.16536246240139008,0.18214468657970428,3.3911020755767822,3.2336578369140625
9,0.1671682894229889,0.18488113582134247,3.324498176574707,3.1761391162872314
10,0.17267176508903503,0.19018299877643585,3.2531661987304688,3.1777684688568115
11,0.17602545022964478,0.195997953414917,3.198028326034546,3.0704057216644287
12,0.17611144483089447,0.167949378490448,3.150817632675171,3.184361457824707
13,0.18011006712913513,0.20010261237621307,3.1062185764312744,3.036667823791504
14,0.18251784145832062,0.19736617803573608,3.0829243659973145,3.0170328617095947
15,0.18711841106414795,0.1896699219942093,3.043389081954956,2.9526350498199463
16,0.18225987255573273,0.2036942094564438,3.0293171405792236,2.944896936416626
17,0.19133201241493225,0.18864375352859497,2.98569655418396,3.02820086479187
18,0.19214893877506256,0.2023259848356247,2.978062391281128,2.9195327758789062
19,0.19713646173477173,0.19907644391059875,2.9502806663513184,2.9119837284088135
20,0.19249290227890015,0.20198392868041992,2.9410338401794434,2.9202661514282227
21,0.2000601887702942,0.19445869326591492,2.913784980773926,3.0021488666534424
22,0.2019520103931427,0.17479048669338226,2.898315191268921,2.937648296356201
23,0.20556367933750153,0.206259623169899,2.883664131164551,2.901855707168579
24,0.2073265165090561,0.1744484305381775,2.86635422706604,2.916067123413086
25,0.20380084216594696,0.19651103019714355,2.853309154510498,2.9091861248016357
26,0.20711153745651245,0.2100222408771515,2.84456467628479,2.852109670639038
27,0.20951931178569794,0.20540447533130646,2.8272035121917725,2.8665146827697754
28,0.21321696043014526,0.19993159174919128,2.814587354660034,2.8452019691467285
29,0.21480780839920044,0.16487087309360504,2.798208236694336,3.015820026397705
30,0.2137759029865265,0.1883016973733902,2.792807102203369,2.9475927352905273
