epoch,train_accuracy,validation_accuracy,loss,validation_loss
1,0.08349815011024475,0.12382418662309647,5.678242206573486,5.099591255187988
2,0.11329434812068939,0.15187275409698486,4.8510355949401855,4.443543910980225
3,0.12481726706027985,0.16589704155921936,4.403696060180664,4.062161445617676
4,0.1362541913986206,0.15734565258026123,4.109681129455566,3.9004299640655518
5,0.14622925221920013,0.17342226207256317,3.891883373260498,3.664459228515625
6,0.14721816778182983,0.17992132902145386,3.7406699657440186,3.5629632472991943
7,0.1499699056148529,0.17530357837677002,3.608452558517456,3.4003756046295166
8,0.16067589819431305,0.17701385915279388,3.493345022201538,3.3959453105926514
9,0.16132083535194397,0.16264751553535461,3.407233953475952,3.2941412925720215
10,0.1616218090057373,0.18642038106918335,3.327995777130127,3.2660105228424072
11,0.17142488062381744,0.1780400276184082,3.2615742683410645,3.1915102005004883
12,0.1678132265806198,0.17889516055583954,3.2124993801116943,3.138787031173706
13,0.17396165430545807,0.1807764619588852,3.163032054901123,3.1795058250427246
14,0.1756814867258072,0.16435779631137848,3.1268680095672607,3.1022679805755615
15,0.1795511245727539,0.17513254284858704,3.0871081352233887,3.0515575408935547
16,0.18217387795448303,0.18146057426929474,3.0522043704986572,3.051607608795166
17,0.18165792524814606,0.15700359642505646,3.024451971054077,3.1114749908447266
18,0.18548455834388733,0.1756456345319748,2.9930131435394287,2.9884111881256104
19,0.18333476781845093,0.18624936044216156,2.984861373901367,3.05222225189209
20,0.19098804891109467,0.1655549854040146,2.9655330181121826,3.0773446559906006
21,0.19060108065605164,0.09218402951955795,2.935976982116699,3.9223928451538086
22,0.19472870230674744,0.17752693593502045,2.9238407611846924,2.9790892601013184
23,0.19752342998981476,0.18864375352859497,2.893332004547119,2.952028274536133
24,0.2029409259557724,0.15084658563137054,2.883711338043213,3.4834296703338623
25,0.19928626716136932,0.18385496735572815,2.8728582859039307,2.931046724319458
26,0.20595064759254456,0.19120916724205017,2.8587498664855957,2.9148054122924805
27,0.20977728068828583,0.16880451142787933,2.8298745155334473,2.9762332439422607
28,0.21265800297260284,0.17239609360694885,2.8076858520507812,2.962745428085327
29,0.21381890773773193,0.18744654953479767,2.8027946949005127,2.9256327152252197
30,0.21454983949661255,0.19257739186286926,2.793268918991089,2.9039928913116455
