epoch,train_accuracy,validation_accuracy,loss,validation_loss
1,0.08697522431612015,0.1152467131614685,5.720301151275635,5.319709777832031
2,0.11781658977270126,0.15246713161468506,4.887437343597412,4.493386745452881
3,0.12370956689119339,0.13351544737815857,4.468757629394531,4.494437217712402
4,0.13226944208145142,0.156223326921463,4.18506383895874,3.8971686363220215
5,0.14005506038665771,0.17876045405864716,3.9628987312316895,3.807645082473755
6,0.1518840342760086,0.17790678143501282,3.7875194549560547,3.6012415885925293
7,0.15132483839988708,0.1821751743555069,3.6639089584350586,3.489680051803589
8,0.15958361327648163,0.1843947470188141,3.5441930294036865,3.3783581256866455
9,0.1545509248971939,0.18661430478096008,3.4623818397521973,3.3635289669036865
10,0.16440123319625854,0.16680894792079926,3.372079372406006,3.4076216220855713
11,0.1616913229227066,0.17363838851451874,3.3177578449249268,3.2116167545318604
12,0.16698209941387177,0.1871265172958374,3.247969627380371,3.143078088760376
13,0.17068134248256683,0.19498036801815033,3.2046990394592285,3.107621192932129
14,0.17773571610450745,0.18541915714740753,3.157027244567871,3.1099042892456055
15,0.1752408742904663,0.18780945241451263,3.1191182136535645,3.089296579360962
16,0.17889711260795593,0.17927266657352448,3.0870938301086426,3.102297067642212
17,0.18294046819210052,0.18507768213748932,3.0501725673675537,3.0598082542419434
18,0.18294046819210052,0.09936827421188354,3.024160385131836,3.504448175430298
19,0.18638162314891815,0.17432132363319397,2.9964590072631836,3.0254852771759033
20,0.1879301518201828,0.17876045405864716,2.966383457183838,3.0675854682922363
21,0.1936940848827362,0.1652723252773285,2.94438099861145,3.164602279663086
22,0.19231761991977692,0.18883387744426727,2.9244110584259033,2.9580180644989014
23,0.1977374404668808,0.1845654845237732,2.908165216445923,2.971374034881592
24,0.20014624297618866,0.19737066328525543,2.89077091217041,2.940868616104126
25,0.20311424136161804,0.1896875500679016,2.8725643157958984,2.959514856338501
26,0.20608223974704742,0.19071197509765625,2.8459725379943848,2.9206345081329346
27,0.20965243875980377,0.18098002672195435,2.829847812652588,2.9944252967834473
28,0.21188919246196747,0.20010244846343994,2.809669256210327,2.9317049980163574
29,0.21219030022621155,0.10568550229072571,2.80696702003479,3.5107507705688477
30,0.21313661336898804,0.18644356727600098,2.796849489212036,3.0548934936523438
